myWorkMindmap.moreTools.minimap	"Minimap"	"Minimap"
myWorkMindmap.template.pf-o2c	"Order to Cash"	"Order to Cash"
myWorkMindmap.template.wb-bmc	"Business Model Canvas"	"Business Model Canvas"
myWorkMindmap.template.wb-lean-canvas	"Lean Canvas"	"Lean Canvas"
myWorkNotebook.toolbar.link	"Link (Ctrl+K)"	"Link (Ctrl+K)"
myWorkTable.collaborationPresence.lockTypeObject	"Object"	"Object"
myWorkTable.collaborationPresence.lockTypeSchema	"Schema"	"Schema"
myWorkTable.collaborationPresence.online	"online"	"online"
myWorkTable.connectorWizard.host	"Host"	"Host"
myWorkTable.connectorWizard.jqlLabel	"JQL ({{optional}})"	"JQL ({{optional}})"
myWorkTable.connectorWizard.port	"Port"	"Port"
myWorkTable.distributionBuilder.format	"Format"	"Format"
myWorkTable.fieldManager.format	"Format"	"Format"
myWorkTable.fieldManager.symbol	"Symbol"	"Symbol"
myWorkTable.ideaStartupTemplates.problem	"Problem"	"Problem"
myWorkTable.ideaStartupTemplates.start	"Start"	"Start"
myWorkTable.inlineAIFill.aiFillButton	"AI Fill ({{count}})"	"AI Fill ({{count}})"
myWorkTable.offlineIndicator.offline	"Offline"	"Offline"
myWorkTable.viewConfigPanel.zoom	"Zoom"	"Zoom"
nav.vector	"Vector AI"	"Vector AI"
notebook.bubbleToolbar.link	"Link"	"Link"
notebook.canonicalPathStrip.label12	"Review"	"Review"
notebook.exportMenu.label2	"Word (.docx) — beta"	"Word (.docx) — beta"
notebook.notebookContent.placeholder2	"+ tag"	"+ tag"
notebook.rightRail.addTag	"+ tag"	"+ tag"
notebook.rightRail.eyebrow	"Notebook"	"Notebook"
organization.branding.logo	"Logo"	"Logo"
organization.challenges.rootcause.suggestions.2	"PFMEA"	"PFMEA"
organization.governance.claimPaths.profile.linkedinUrl	undefined	undefined
organization.governance.claimPaths.profile.twitterUrl	undefined	undefined
organization.governance.visibilityScopes.demo	"Demo"	"Demo"
organization.knowledgeGraph.entityTypes.system	"System"	"System"
organization.profile.options.companySize.STARTUP	"Startup (< 50)"	"Startup (< 50)"
organization.profile.options.growthStage.STARTUP	"Startup"	"Startup"
organization.profile.readiness.modules.research.label	"Deep Research"	"Deep Research"
organization.synthesis.risks.modal.aiSuggestedIndustry	"Automotive"	"Automotive"
pages.partner.process.steps.onboarding.title	"Onboarding"	"Onboarding"
pages.partner.tiers.items.premier.benefits.2	"Co-marketing"	"Co-marketing"
pages.partner.tiers.items.premier.requirements.1	"Case study"	"Case study"
pages.partner.tiers.items.premier.title	"Premier"	"Premier"
partner.beta.stories.0.company	"Nordic Digital Solutions"	"Nordic Digital Solutions"
partner.beta.stories.1.company	"TransformACE Consulting"	"TransformACE Consulting"
partner.contact.name	"Bartosz Sotomski"	"Bartosz Sotomski"
partner.faq.badge	"FAQ"	"FAQ"
partner.footer.community.slack	"Partner Slack"	"Partner Slack"
partner.footer.support.faq	"FAQ"	"FAQ"
partner.home.academy.courses.fundamentals.duration	"45 min"	"45 min"
partner.home.academy.courses.selling.duration	"60 min"	"60 min"
partner.home.academy.courses.success.duration	"30 min"	"30 min"
partner.home.faq.badge	"FAQ"	"FAQ"
partner.home.onboarding.bonusLabel	"Bonus"	"Bonus"
partner.onboarding.bonus	"Bonus"	"Bonus"
partner.sidebar.subtitle	"DBR77 Consultify"	"DBR77 Consultify"
partner.tiers.gold.benefits.0	"Co-marketing"	"Co-marketing"
partners.outreach.start	"Start"	"Start"
portfolio.ai.scenarioTimeBoxed	"Time-boxed"	"Time-boxed"
prezentacje.kpi.format	"Format"	"Format"
pricing.plans.enterprise.name	"Enterprise"	"Enterprise"
pricing.plans.manager.name	"Admin"	"Admin"
pricing.plans.manager.price	"EUR 49"	"EUR 49"
pricing.plans.user.price	"EUR 29"	"EUR 29"
processFlow.edgeStylePopover.arrowStart	"Start"	"Start"
processFlow.propertiesPanel.systemLabel	"System"	"System"
processFlow.propertiesPanel.unitMin	"min"	"min"
processFlow.workSurface.minutes	"Min"	"Min"
processFlow.workSurface.start	"Start"	"Start"
processFlow.workSurface.systemPlaceholder	"System"	"System"
rap.outputs.launcher.tpl.kpiDashboard	"KPI Dashboard"	"KPI dashboard"
rap.outputs.visibility.demo	"Demo"	"Demo"
rbHub.tabs.r1r4	"R1–R4"	"R1–R4"
reportBuilder.blockCard.feedback	"Feedback"	"Feedback"
reportBuilder.blockTypesManager.modal.sourcesPlaceholder	"ASSESSMENT, TOOL"	"ASSESSMENT, TOOL"
reportBuilder.blockTypesManager.render.json	"JSON"	"JSON"
reportBuilder.blockTypesManager.render.markdown	"Markdown"	"Markdown"
reportBuilder.editor.agent	"Agent"	"Agent"
reportBuilder.settingsPanel.font	"Font"	"Font"
reportBuilder.templatesManager.columns.format	"Format"	"Format"
reportBuilder.templatesManager.systemAuthor	"System"	"System"
reports.ganttChart.monthNamesShort.2	"Mar"	"Mar"
results.ai.premiumBadge	"AI premium"	"AI premium"
results.columns.trend	"Trend"	"Trend"
results.strategic.bdn	"Benefits Dependency Network"	"Benefits Dependency Network"
results.strategic.bsc	"Balanced Scorecard"	"Balanced Scorecard"
results.summary.columns.monitoring	"Monitoring"	"Monitoring"
settings.accessibility.colorVision.deuteranopia	"Deuteranopia"	"Deuteranopia"
settings.accessibility.colorVision.protanopia	"Protanopia"	"Protanopia"
settings.accessibility.colorVision.tritanopia	"Tritanopia"	"Tritanopia"
settings.accessibility.fontFamily.dyslexic	"OpenDyslexic"	"OpenDyslexic"
settings.accessibility.fontFamily.inter	"Inter"	"Inter"
settings.accessibility.fontFamily.lato	"Lato"	"Lato"
settings.accessibility.fontFamily.mono	"Monospace"	"Monospace"
settings.accessibility.fontFamily.openSans	"Open Sans"	"Open Sans"
settings.accessibility.fontFamily.roboto	"Roboto"	"Roboto"
