public	decision_escalation_chain	public	decisions	decision_id	id	CASCADE
public	decision_escalation_log	public	decisions	decision_id	id	CASCADE
public	decision_history	public	decisions	decision_id	id	CASCADE
public	decision_impacts	public	decisions	decision_id	id	CASCADE
public	decision_risks	public	decisions	decision_id	id	CASCADE
public	decision_stakeholders	public	decisions	decision_id	id	CASCADE
public	decision_votes	public	decisions	decision_id	id	CASCADE
public	decisions	public	initiatives	initiative_id	id	SET NULL
public	decisions	public	organizations	organization_id	id	CASCADE
public	decisions	public	projects	project_id	id	SET NULL
public	decisions	public	tasks	task_id	id	SET NULL
public	decisions	public	users	created_by	id	SET NULL
public	decisions	public	users	decision_maker_id	id	SET NULL
public	delay_signals	public	organizations	organization_id	id	CASCADE
public	deliverable_bundle_versions	public	deliverable_bundles	bundle_id	id	CASCADE
public	demo_session_tenants	public	demo_sessions	session_id	id	CASCADE
public	demo_session_tenants	public	organizations	base_org_id	id	CASCADE
public	demo_session_tenants	public	organizations	tenant_org_id	id	CASCADE
public	demo_sessions	public	organizations	base_org_id	id	CASCADE
public	demo_sessions	public	organizations	session_org_id	id	CASCADE
public	demo_sessions	public	users	user_id	id	CASCADE
public	developer_settings	public	users	user_id	id	CASCADE
public	digitization_axis_scores	public	digitization_analyses	analysis_id	id	CASCADE
public	dlp_policies	public	organizations	organization_id	id	CASCADE
public	dlp_policies	public	users	created_by	id	NO ACTION
public	dlp_violations	public	dlp_policies	policy_id	id	CASCADE
public	dlp_violations	public	organizations	organization_id	id	CASCADE
public	dlp_violations	public	users	resolved_by	id	NO ACTION
public	dlp_violations	public	users	user_id	id	NO ACTION
public	domain_verifications	public	organizations	organization_id	id	NO ACTION
public	dsar_activity_log	public	data_subject_requests	request_id	id	CASCADE
public	dunning_states	public	organizations	organization_id	id	NO ACTION
public	email_sender_verifications	public	organizations	organization_id	id	NO ACTION
public	email_sends	public	email_templates	template_id	id	SET NULL
public	email_sends	public	organizations	organization_id	id	CASCADE
public	email_signatures	public	users	user_id	id	CASCADE
public	email_templates	public	organizations	organization_id	id	CASCADE
public	enterprise_contracts	public	organizations	organization_id	id	NO ACTION
public	execution_action_audit	public	execution_action_registry	action_id	action_id	NO ACTION
public	execution_action_audit	public	organizations	organization_id	id	NO ACTION
